epoch,train_loss,test_loss,task_loss,temporal_loss,pattern_evolution_loss
0,3.722242486953735,3.3130117803812027,3.722051889419556,0.0006556228022818687,0.0012505333620429155
1,3.2407555351257322,3.25454381108284,3.24055920791626,6.0494596255011857e-05,0.0019027080140076578
2,3.209816614151001,3.2453632056713104,3.2096877269744875,6.764006181037985e-05,0.0012212367723695933
3,3.1969744663238524,3.2494296729564667,3.196782428741455,8.793728100135922e-05,0.0018324476405978203
4,3.1889960289001467,3.227234937250614,3.1888065509796144,0.0001683225992601365,0.0017264262475073337
5,3.1797861194610597,3.221814066171646,3.1794987850189207,0.00025965422746958213,0.0026136187883093955
6,3.1697850799560547,3.215501517057419,3.1695028762817383,0.0003498289088020101,0.002472209396306425
7,3.162857166290283,3.2051616460084915,3.162605012893677,0.0005006876869592815,0.0020207842248491942
8,3.151680923461914,3.1996766328811646,3.151505397796631,0.0005885333933401853,0.0011665772524429485
9,3.1431299591064454,3.2061879634857178,3.142830617904663,0.000613287904066965,0.0023801195033593104
10,3.1338373985290526,3.174333617091179,3.1335543880462646,0.0007488354018423707,0.002081232579657808
11,3.124734769821167,3.166680194437504,3.124097049713135,0.0009165071067400276,0.0054606488342396915
12,3.112654209136963,3.154150128364563,3.1121667461395264,0.0011476911958307027,0.0037267090352252124
13,3.1023260803222654,3.1387248411774635,3.101841993331909,0.0011996373212896287,0.0036412369976751508
14,3.08947186088562,3.136354759335518,3.0890550804138184,0.00137534444546327,0.002792544463649392
15,3.082764085769653,3.1268556341528893,3.0823063621520994,0.0015748340738937258,0.0030024737073108556
16,3.074920829772949,3.1259434521198273,3.0741234645843507,0.0016026837369427084,0.006370983201544732
17,3.0649025325775145,3.122113846242428,3.0643564891815185,0.0018172231651842595,0.003643174503929913
18,3.05878892326355,3.1169119253754616,3.057992244720459,0.002029652189463377,0.005937108473852277
19,3.054260667800903,3.1136716827750206,3.0536811695098875,0.0020014731418341396,0.003793561320286244
20,3.0469540271759032,3.112602524459362,3.0463765354156496,0.00212312466930598,0.003651815424207598
21,3.042338047027588,3.117187350988388,3.041798559188843,0.00202891839761287,0.0033658881345763805
22,3.0391325588226317,3.1279191225767136,3.038574586868286,0.002142727534286678,0.0034368753572925925
23,3.0331990509033204,3.1089604198932648,3.032503849029541,0.0021261568469926715,0.004825994639657437
24,3.0280523777008055,3.0965142026543617,3.0274144439697266,0.0021026738714426756,0.004276618877425789
25,3.0216955814361572,3.095373935997486,3.0211502189636232,0.002217110559344292,0.003236388474702835
26,3.0141933841705324,3.104570657014847,3.0136034603118897,0.002388858051970601,0.0035102796899154783
27,3.0091661148071287,3.08646646887064,3.0087094135284422,0.002199387255124748,0.002367756295949221
28,3.0026890506744386,3.08865474909544,3.002211162567139,0.002390611776150763,0.002388318001292646
29,2.995519166946411,3.0732583925127983,2.9951546573638916,0.0023564007058739663,0.0012886530118994416
30,2.9874880790710447,3.0775709375739098,2.9871183567047117,0.0023413827419281005,0.0013557478636503219
31,2.9810606536865234,3.063668444752693,2.980697660446167,0.002353830990381539,0.0012760654638987034
32,2.975306079864502,3.067044474184513,2.9749554290771485,0.002429740102030337,0.0010768917372915893
33,2.9629865398406983,3.0663789063692093,2.962605504989624,0.002456630427390337,0.0013537463513202965
34,2.9557818031311034,3.037946917116642,2.9553702449798585,0.0024893904263153673,0.0016261170171201229
35,2.9490383148193358,3.038754992187023,2.9486572246551512,0.002596631769090891,0.0012141971313394606
36,2.938502946853638,3.0292630046606064,2.9381071605682374,0.0026009562080726027,0.0013570701831486075
37,2.928980640411377,3.0410462766885757,2.928594108581543,0.002633199669420719,0.0012321546582970769
38,2.9235312538146974,3.007791668176651,2.9231875705718995,0.0026593340495601296,0.0007774870994035155
39,2.9122541332244873,3.0108380168676376,2.9118893184661867,0.0026723070479929448,0.000975746386917308
40,2.9045657424926756,2.997687429189682,2.9041224098205567,0.0027024368420243265,0.001730756063014269
41,2.8935303020477297,2.9872752130031586,2.8931101398468018,0.0027264615446329116,0.0014750661253929139
42,2.8835113697052,2.982200115919113,2.883077714920044,0.0026715073697268963,0.001665216009831056
43,2.874691659927368,2.9741659685969353,2.874302579879761,0.0027359806653112174,0.0011547941896133125
44,2.869956388473511,2.9722513258457184,2.8695792865753176,0.0027173055708408357,0.0010536138955503703
45,2.8605980434417724,2.964841105043888,2.8602407131195067,0.002704789713025093,0.0008685594485141337
46,2.8577145099639893,2.9977608993649483,2.8573498344421386,0.002738158993422985,0.0009086334810126573
47,2.8455680503845215,2.944847732782364,2.845143829345703,0.002708442103117704,0.0015336687800008803
48,2.8370111846923827,2.9436273276805878,2.8365773525238036,0.002749564349651337,0.0015887229880318045
49,2.830877624511719,2.936577908694744,2.8304958152770996,0.002684484876692295,0.0011336486234795303
50,2.823161548614502,2.945354752242565,2.8228085899353026,0.0027151980474591254,0.0008144542360678316
51,2.811175848007202,2.924632705748081,2.810776485443115,0.0027992902155965565,0.001194512226851657
52,2.80448642539978,2.9244815185666084,2.804072420120239,0.0028933237809687855,0.0012468462253455073
53,2.795098428726196,2.9122831895947456,2.7945964221954345,0.0029322556182742117,0.002088018176378682
54,2.7855621833801267,2.894800618290901,2.785176698684692,0.002998964985832572,0.0008558886012760922
55,2.7779064655303953,2.895164482295513,2.777551570892334,0.003041545992717147,0.0005073420426342637
56,2.767999496459961,2.8860615491867065,2.767634006500244,0.0031960112154483795,0.00045885620126500726
57,2.7574342365264894,2.875847667455673,2.757014642715454,0.003207078345119953,0.0009886011031921952
